,item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19
0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
2,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
3,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
5,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
6,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
7,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
8,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
9,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
10,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
11,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
12,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
13,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
16,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
17,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
18,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
19,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
20,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
21,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
22,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
23,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
24,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
25,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
26,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
27,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
28,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
29,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
30,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
31,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
32,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
35,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
36,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
37,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
38,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
39,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1
40,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
41,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
42,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0
43,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0
44,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1
45,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
46,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
47,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
48,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1
49,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1
50,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
51,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0
52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0
54,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
55,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1
56,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0
57,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0
